variavel,desfecho,k,trimestre,coef_pp,ep_pp,ic95_inf_pp,ic95_sup_pp
mobilidade_ascendente_aioe,Transição para maior AIOE,3,2023T3,0.4811167092545811,0.3359076728793823,-0.17727590900849374,1.139509327517656
mobilidade_ascendente_aioe,Transição para maior AIOE,4,2023T4,0.22856783454466265,0.3440694285079514,-0.4458221546979271,0.9029578237872524
mobilidade_ascendente_aioe,Transição para maior AIOE,5,2024T1,-0.15760314240170903,0.3297488525693865,-0.8039242238804308,0.4887179390770127
mobilidade_ascendente_aioe,Transição para maior AIOE,6,2024T2,0.0441678958084881,0.33149592545953893,-0.6055775191621837,0.6939133107791599
mobilidade_ascendente_aioe,Transição para maior AIOE,7,2024T3,-0.027050194997140436,0.3354228577002476,-0.68449255590995,0.6303921659156689
mobilidade_ascendente_aioe,Transição para maior AIOE,8,2024T4,0.07891323486614613,0.33378445726948175,-0.575317794968309,0.7331442647006012
mobilidade_ascendente_aioe,Transição para maior AIOE,9,2025T1,-0.09701586495994653,0.33750583705641557,-0.7585409496174672,0.5645092196975742
mobilidade_ascendente_aioe,Transição para maior AIOE,10,2025T2,0.02403559242666674,0.32380971525752766,-0.6106445398249655,0.6587157246782991
mobilidade_ascendente_aioe,Transição para maior AIOE,11,2025T3,-0.17226913657064777,0.3229888250341348,-0.805340290799083,0.4608020176577875
mobilidade_descendente_aioe,Transição para menor AIOE,-15,2019T1,-0.5422154406989992,0.3375855783944655,-1.2038968216027248,0.11946594020472669
mobilidade_descendente_aioe,Transição para menor AIOE,-14,2019T2,-0.5658384003279755,0.33923865847454016,-1.2307598850161412,0.09908308436019017
mobilidade_descendente_aioe,Transição para menor AIOE,-13,2019T3,-0.807628334415161,0.3392802404902048,-1.4726313215350257,-0.14262534729529622
mobilidade_descendente_aioe,Transição para menor AIOE,-12,2019T4,-0.6787494636676341,0.3414242005054522,-1.347954699089213,-0.009544228246055348
mobilidade_descendente_aioe,Transição para menor AIOE,-11,2020T1,-3.7949768891336215,0.3533755874164391,-4.487607326048067,-3.1023464522191753
mobilidade_descendente_aioe,Transição para menor AIOE,-10,2020T2,-4.36959798106997,0.3746135302064798,-5.103855644418977,-3.6353403177209627
mobilidade_descendente_aioe,Transição para menor AIOE,-9,2020T3,-4.440398878324299,0.35558260275470893,-5.137355154522661,-3.7434426021259375
